Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Line.LN5835173-1,    28.4281,   -59.46,    32.1321,   169.26,    52.7877,    60.01,          0,     0.00,    28.7527,    71.20,    28.4284,   120.53,    32.1324,   -10.74,    52.7881,  -120.00,          0,     0.00,    28.7525,  -108.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6321415-1,   0.753096,   172.30,          0,     0.00,          0,     0.00,          0,     0.00,   0.753096,   172.30,   0.753315,    -7.77,          0,     0.00,          0,     0.00,          0,     0.00,   0.753315,    -7.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5565092-1,    2.34977,    60.68,          0,     0.00,          0,     0.00,          0,     0.00,    2.34977,    60.68,    2.34978,  -119.32,          0,     0.00,          0,     0.00,          0,     0.00,    2.34978,  -119.32,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6073648-1,    3.08129,   -57.08,          0,     0.00,          0,     0.00,          0,     0.00,    3.08129,   -57.08,    3.08132,   122.92,          0,     0.00,          0,     0.00,          0,     0.00,    3.08132,   122.92,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774457-1,    28.7722,   -60.10,    12.9357,   169.24,    25.1096,    60.54,          0,     0.00,    13.9963,    -2.72,    28.7724,   119.89,     12.936,   -10.76,    25.1099,  -119.46,          0,     0.00,    13.9964,   177.27,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5534966-3,    11.0479,   -59.71,          0,     0.00,          0,     0.00,          0,     0.00,    11.0479,   -59.71,     11.048,   120.29,          0,     0.00,          0,     0.00,          0,     0.00,     11.048,   120.29,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5859996-1,    1.48482,   169.32,          0,     0.00,          0,     0.00,          0,     0.00,    1.48482,   169.32,    1.48484,   -10.68,          0,     0.00,          0,     0.00,          0,     0.00,    1.48484,   -10.68,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6138610-2,    116.849,   -59.53,    47.0383,   169.43,    113.675,    60.40,          0,     0.00,     69.486,     5.58,    116.849,   120.47,    47.0385,   -10.57,    113.675,  -119.60,          0,     0.00,     69.486,  -174.42,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6258435-3,    2.55242,   -59.46,          0,     0.00,          0,     0.00,          0,     0.00,    2.55242,   -59.46,    2.55289,   120.50,          0,     0.00,          0,     0.00,          0,     0.00,    2.55289,   120.50,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804790-1,    1.50428,    65.22,          0,     0.00,          0,     0.00,          0,     0.00,    1.50428,    65.22,    1.50513,  -114.90,          0,     0.00,          0,     0.00,          0,     0.00,    1.50513,  -114.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6900591-14,    4.57426,   -59.79,          0,     0.00,          0,     0.00,          0,     0.00,    4.57426,   -59.79,    4.57457,   120.20,          0,     0.00,          0,     0.00,          0,     0.00,    4.57457,   120.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6409873-1,    7.86745,   171.82,          0,     0.00,          0,     0.00,          0,     0.00,    7.86745,   171.82,    7.86765,    -8.18,          0,     0.00,          0,     0.00,          0,     0.00,    7.86765,    -8.18,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6014135-1,    9.68847,   -57.13,          0,     0.00,          0,     0.00,          0,     0.00,    9.68847,   -57.13,    9.68849,   122.87,          0,     0.00,          0,     0.00,          0,     0.00,    9.68849,   122.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077784-1,    55.8968,   -60.04,    37.0567,   169.05,    46.6114,    60.61,          0,     0.00,    14.4255,    -3.08,    55.8972,   119.96,    37.0571,   -10.95,    46.6119,  -119.39,          0,     0.00,    14.4256,   176.92,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744338-1,    17.4268,   170.14,          0,     0.00,          0,     0.00,          0,     0.00,    17.4268,   170.14,     17.427,    -9.87,          0,     0.00,          0,     0.00,          0,     0.00,     17.427,    -9.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6991381-4,    5.07485,   -59.61,          0,     0.00,          0,     0.00,          0,     0.00,    5.07485,   -59.61,    5.07525,   120.37,          0,     0.00,          0,     0.00,          0,     0.00,    5.07525,   120.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774480-1,    17.0103,   168.98,          0,     0.00,          0,     0.00,          0,     0.00,    17.0103,   168.98,    17.0106,   -11.02,          0,     0.00,          0,     0.00,          0,     0.00,    17.0106,   -11.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5986938-3,    5.23787,   -59.58,          0,     0.00,          0,     0.00,          0,     0.00,    5.23787,   -59.58,    5.23791,   120.42,          0,     0.00,          0,     0.00,          0,     0.00,    5.23791,   120.42,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5894230-1,    1.45286,    68.73,          0,     0.00,          0,     0.00,          0,     0.00,    1.45286,    68.73,    1.45343,  -111.35,          0,     0.00,          0,     0.00,          0,     0.00,    1.45343,  -111.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683858-3,    2.49237,   -59.75,    2.27076,   169.62,    3.21607,    60.84,          0,     0.00,    1.21663,    61.04,    2.49247,   120.24,    2.27086,   -10.39,    3.21619,  -119.17,          0,     0.00,    1.21655,  -118.96,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5920279-5,    339.306,   -48.47,    168.305,   179.59,    242.482,    73.61,          0,     0.00,    126.722,    -9.16,    339.306,   131.53,    168.305,    -0.41,    242.482,  -106.39,          0,     0.00,    126.722,   170.84,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6439600-1,    1.24994,   -59.76,          0,     0.00,          0,     0.00,          0,     0.00,    1.24994,   -59.76,    1.25047,   120.15,          0,     0.00,          0,     0.00,          0,     0.00,    1.25047,   120.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5589097-1,    1.88955,   -51.96,          0,     0.00,          0,     0.00,          0,     0.00,    1.88955,   -51.96,    1.88967,   128.03,          0,     0.00,          0,     0.00,          0,     0.00,    1.88967,   128.03,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5651975-1,     59.477,   -59.60,    8.07753,   169.95,     36.294,    60.92,          0,     0.00,    43.7405,   -24.55,    59.4772,   120.40,    8.07772,   -10.05,    36.2942,  -119.08,          0,     0.00,    43.7406,   155.45,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865236-1,    2.54448,   -59.39,          0,     0.00,          0,     0.00,          0,     0.00,    2.54448,   -59.39,    2.54453,   120.61,          0,     0.00,          0,     0.00,          0,     0.00,    2.54453,   120.61,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593232-1,    1.49196,    67.27,          0,     0.00,          0,     0.00,          0,     0.00,    1.49196,    67.27,    1.49259,  -112.82,          0,     0.00,          0,     0.00,          0,     0.00,    1.49259,  -112.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5740283-1,    1.73509,    64.11,          0,     0.00,          0,     0.00,          0,     0.00,    1.73509,    64.11,    1.73512,  -115.90,          0,     0.00,          0,     0.00,          0,     0.00,    1.73512,  -115.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6106559-1,    2.10982,   168.96,          0,     0.00,          0,     0.00,          0,     0.00,    2.10982,   168.96,    2.11006,   -11.07,          0,     0.00,          0,     0.00,          0,     0.00,    2.11006,   -11.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714056-3,    49.7558,   -59.64,    6.18562,   169.89,     27.772,    60.91,          0,     0.00,    37.0055,   -28.36,    49.7565,   120.36,    6.18631,   -10.13,    27.7729,  -119.10,          0,     0.00,     37.006,   151.64,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5985355-3,    29.8103,   169.02,          0,     0.00,          0,     0.00,          0,     0.00,    29.8103,   169.02,    29.8105,   -10.98,          0,     0.00,          0,     0.00,          0,     0.00,    29.8105,   -10.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531956-1,    1.24719,   -57.80,          0,     0.00,          0,     0.00,          0,     0.00,    1.24719,   -57.80,    1.24752,   122.15,          0,     0.00,          0,     0.00,          0,     0.00,    1.24752,   122.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5650048-1,   0.753787,   168.98,          0,     0.00,          0,     0.00,          0,     0.00,   0.753787,   168.98,   0.753933,   -11.06,          0,     0.00,          0,     0.00,          0,     0.00,   0.753933,   -11.06,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6290203-1,    21.8199,   -59.48,     27.546,   169.23,    43.2182,    59.96,          0,     0.00,    24.4307,    76.61,    21.8205,   120.52,    27.5465,   -10.78,    43.2189,  -120.04,          0,     0.00,    24.4301,  -103.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6134414-1,    2.96809,    62.03,          0,     0.00,          0,     0.00,          0,     0.00,    2.96809,    62.03,    2.96836,  -117.99,          0,     0.00,          0,     0.00,          0,     0.00,    2.96836,  -117.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6259998-2,    1.88964,    60.75,          0,     0.00,          0,     0.00,          0,     0.00,    1.88964,    60.75,     1.8897,  -119.26,          0,     0.00,          0,     0.00,          0,     0.00,     1.8897,  -119.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6078767-1,    131.986,   -38.25,    129.461,   -55.30,    100.928,    42.44,          0,     0.00,    278.972,   -25.48,    131.986,   141.75,     129.46,   124.70,    100.928,  -137.56,          0,     0.00,    278.972,   154.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6017300-1,   0.890642,    67.24,          0,     0.00,          0,     0.00,          0,     0.00,   0.890642,    67.24,   0.891025,  -112.85,          0,     0.00,          0,     0.00,          0,     0.00,   0.891025,  -112.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8979257-2,    1.28375,   -53.95,   0.707211,   170.63,    1.46524,    63.88,          0,     0.00,   0.805235,    29.21,    1.28421,   125.98,   0.707441,    -9.44,     1.4657,  -116.19,          0,     0.00,   0.805302,  -150.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN81048109-1,    2.09207,   170.56,          0,     0.00,          0,     0.00,          0,     0.00,    2.09207,   170.56,    2.09304,    -9.54,          0,     0.00,          0,     0.00,          0,     0.00,    2.09304,    -9.54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.293471,     1.2943,   -57.17,   0.964206,   170.39,    1.49982,    66.54,          0,     0.00,    0.56821,    52.24,    1.29446,   122.79,   0.964412,    -9.64,    1.50001,  -113.48,          0,     0.00,   0.568171,  -127.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5534965-2,    1.27138,   -59.72,          0,     0.00,          0,     0.00,          0,     0.00,    1.27138,   -59.72,    1.27141,   120.27,          0,     0.00,          0,     0.00,          0,     0.00,    1.27141,   120.27,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5655683-1,    19.5324,   -59.69,          0,     0.00,          0,     0.00,          0,     0.00,    19.5324,   -59.69,    19.5325,   120.31,          0,     0.00,          0,     0.00,          0,     0.00,    19.5325,   120.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5686247-1,    1.13903,   173.35,          0,     0.00,          0,     0.00,          0,     0.00,    1.13903,   173.35,    1.13904,    -6.65,          0,     0.00,          0,     0.00,          0,     0.00,    1.13904,    -6.65,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048642-1,  0.0010549,   -81.84,          0,     0.00,          0,     0.00,          0,     0.00,  0.0010549,   -81.84, 4.06738E-12,   -26.57,          0,     0.00,          0,     0.00,          0,     0.00, 4.06738E-12,   -26.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5928544-3,    15.9229,    60.32,          0,     0.00,          0,     0.00,          0,     0.00,    15.9229,    60.32,    15.9231,  -119.69,          0,     0.00,          0,     0.00,          0,     0.00,    15.9231,  -119.69,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108172-1,    2.50003,   -59.71,          0,     0.00,          0,     0.00,          0,     0.00,    2.50003,   -59.71,    2.50106,   120.21,          0,     0.00,          0,     0.00,          0,     0.00,    2.50106,   120.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532754-1,    54.7918,   -59.62,    8.08043,   169.89,    30.3087,    60.93,          0,     0.00,    39.5456,   -29.31,    54.7919,   120.38,    8.08053,   -10.11,    30.3089,  -119.07,          0,     0.00,    39.5456,   150.69,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5591834-1,    3.73679,    64.58,          0,     0.00,          0,     0.00,          0,     0.00,    3.73679,    64.58,    3.73712,  -115.44,          0,     0.00,          0,     0.00,          0,     0.00,    3.73712,  -115.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6347196-2,    26.9765,   -59.63,    5.72839,   169.87,     27.774,    60.89,          0,     0.00,    21.6014,     5.31,    26.9766,   120.37,    5.72854,   -10.14,    27.7742,  -119.11,          0,     0.00,    21.6014,  -174.69,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532741-1,     9.1797,    65.23,          0,     0.00,          0,     0.00,          0,     0.00,     9.1797,    65.23,    9.17996,  -114.77,          0,     0.00,          0,     0.00,          0,     0.00,    9.17996,  -114.77,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804803-1,     0.7778,   -56.77,          0,     0.00,          0,     0.00,          0,     0.00,     0.7778,   -56.77,   0.779115,   122.86,          0,     0.00,          0,     0.00,          0,     0.00,   0.779115,   122.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6169248-1,    109.096,   -59.95,     39.718,   169.07,    49.7378,    60.64,          0,     0.00,    59.1452,   -47.42,    109.096,   120.05,    39.7186,   -10.93,    49.7385,  -119.36,          0,     0.00,    59.1456,   132.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532786-2,    1.18175,   169.32,          0,     0.00,          0,     0.00,          0,     0.00,    1.18175,   169.32,    1.18179,   -10.69,          0,     0.00,          0,     0.00,          0,     0.00,    1.18179,   -10.69,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744339-1,    16.5615,   -57.14,          0,     0.00,          0,     0.00,          0,     0.00,    16.5615,   -57.14,    16.5618,   122.86,          0,     0.00,          0,     0.00,          0,     0.00,    16.5618,   122.86,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531255-3,    16.4159,   -60.12,          0,     0.00,          0,     0.00,          0,     0.00,    16.4159,   -60.12,    16.4162,   119.87,          0,     0.00,          0,     0.00,          0,     0.00,    16.4162,   119.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5926308-2,    40.4817,   -57.06,     31.914,   170.27,    19.9341,    66.72,          0,     0.00,    10.3889,   -98.67,    40.4819,   122.94,    31.9142,    -9.73,    19.9343,  -113.28,          0,     0.00,     10.389,    81.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683856-3,    1.27211,   -59.69,          0,     0.00,          0,     0.00,          0,     0.00,    1.27211,   -59.69,    1.27224,   120.29,          0,     0.00,          0,     0.00,          0,     0.00,    1.27224,   120.29,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6171502-1,    2.03541,   -59.59,          0,     0.00,          0,     0.00,          0,     0.00,    2.03541,   -59.59,    2.03545,   120.40,          0,     0.00,          0,     0.00,          0,     0.00,    2.03545,   120.40,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593228-1,   0.750621,   169.04,          0,     0.00,          0,     0.00,          0,     0.00,   0.750621,   169.04,   0.750765,   -11.00,          0,     0.00,          0,     0.00,          0,     0.00,   0.750765,   -11.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6380800-1,   0.740411,   168.76,          0,     0.00,          0,     0.00,          0,     0.00,   0.740411,   168.76,    0.74055,   -11.28,          0,     0.00,          0,     0.00,          0,     0.00,    0.74055,   -11.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6199525-2,    0.52027,   -57.11,          0,     0.00,          0,     0.00,          0,     0.00,    0.52027,   -57.11,   0.520584,   122.76,          0,     0.00,          0,     0.00,          0,     0.00,   0.520584,   122.76,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5772710-2,     10.132,   -59.92,          0,     0.00,          0,     0.00,          0,     0.00,     10.132,   -59.92,    10.1324,   120.07,          0,     0.00,          0,     0.00,          0,     0.00,    10.1324,   120.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8961760-1,    5.48003,    60.91,          0,     0.00,          0,     0.00,          0,     0.00,    5.48003,    60.91,    5.48012,  -119.09,          0,     0.00,          0,     0.00,          0,     0.00,    5.48012,  -119.09,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6047556-1,    1.48429,    62.00,          0,     0.00,          0,     0.00,          0,     0.00,    1.48429,    62.00,     1.4848,  -118.07,          0,     0.00,          0,     0.00,          0,     0.00,     1.4848,  -118.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6138603-1,    1.20578,   169.08,          0,     0.00,          0,     0.00,          0,     0.00,    1.20578,   169.08,    1.20608,   -10.97,          0,     0.00,          0,     0.00,          0,     0.00,    1.20608,   -10.97,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108139-1,   0.429873,   169.01,          0,     0.00,          0,     0.00,          0,     0.00,   0.429873,   169.01,   0.429915,   -11.01,          0,     0.00,          0,     0.00,          0,     0.00,   0.429915,   -11.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6388581-2,   0.744135,   -59.31,          0,     0.00,          0,     0.00,          0,     0.00,   0.744135,   -59.31,   0.744395,   120.61,          0,     0.00,          0,     0.00,          0,     0.00,   0.744395,   120.61,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774460-1,    0.74865,   -59.79,          0,     0.00,          0,     0.00,          0,     0.00,    0.74865,   -59.79,   0.748944,   120.12,          0,     0.00,          0,     0.00,          0,     0.00,   0.748944,   120.12,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5624387-1,    2.23955,    65.29,          0,     0.00,          0,     0.00,          0,     0.00,    2.23955,    65.29,    2.23979,  -114.73,          0,     0.00,          0,     0.00,          0,     0.00,    2.23979,  -114.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6137087-1,    11.9766,    67.22,          0,     0.00,          0,     0.00,          0,     0.00,    11.9766,    67.22,    11.9767,  -112.78,          0,     0.00,          0,     0.00,          0,     0.00,    11.9767,  -112.78,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077809-1,     16.031,    60.39,          0,     0.00,          0,     0.00,          0,     0.00,     16.031,    60.39,    16.0315,  -119.62,          0,     0.00,          0,     0.00,          0,     0.00,    16.0315,  -119.62,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6440079-1,    3.73712,    64.56,          0,     0.00,          0,     0.00,          0,     0.00,    3.73712,    64.56,    3.73735,  -115.46,          0,     0.00,          0,     0.00,          0,     0.00,    3.73735,  -115.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804794-1,    11.5524,   -56.66,          0,     0.00,          0,     0.00,          0,     0.00,    11.5524,   -56.66,    11.5528,   123.33,          0,     0.00,          0,     0.00,          0,     0.00,    11.5528,   123.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5654484-1,    1.47111,    65.43,          0,     0.00,          0,     0.00,          0,     0.00,    1.47111,    65.43,    1.47123,  -114.59,          0,     0.00,          0,     0.00,          0,     0.00,    1.47123,  -114.59,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774465-1,    2.48545,   -59.38,          0,     0.00,          0,     0.00,          0,     0.00,    2.48545,   -59.38,    2.48604,   120.57,          0,     0.00,          0,     0.00,          0,     0.00,    2.48604,   120.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5473349-1,     291.18,   -48.06,    156.769,   179.69,    226.105,    74.24,          0,     0.00,     99.245,     1.08,     291.18,   131.94,    156.769,    -0.32,    226.105,  -105.76,          0,     0.00,    99.2451,  -178.92,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6169253-1,    1.25043,   -59.79,          0,     0.00,          0,     0.00,          0,     0.00,    1.25043,   -59.79,    1.25071,   120.17,          0,     0.00,          0,     0.00,          0,     0.00,    1.25071,   120.17,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350536-1,   0.752501,   -60.05,          0,     0.00,          0,     0.00,          0,     0.00,   0.752501,   -60.05,   0.753325,   119.71,          0,     0.00,          0,     0.00,          0,     0.00,   0.753325,   119.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048523-1,    20.9193,    68.78,          0,     0.00,          0,     0.00,          0,     0.00,    20.9193,    68.78,    20.9197,  -111.23,          0,     0.00,          0,     0.00,          0,     0.00,    20.9197,  -111.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5594152-1,    23.2274,    68.82,          0,     0.00,          0,     0.00,          0,     0.00,    23.2274,    68.82,     23.228,  -111.18,          0,     0.00,          0,     0.00,          0,     0.00,     23.228,  -111.18,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865248-1,    47.4124,   -57.06,    33.3689,   170.29,    19.9324,    66.74,          0,     0.00,    15.8658,   -87.25,    47.4126,   122.94,    33.3692,    -9.71,    19.9326,  -113.26,          0,     0.00,    15.8659,    92.75,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
