Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"M1069567", 12.47, 2,    3822.27, -176.1,    0.5309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069582", 12.47, 2,    3817.43, -176.1,   0.53023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1140830", 12.47, 1,    7828.04,  -44.8,    1.0873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3216351", 12.47, 1,    7827.96,  -44.8,    1.0873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2952007", 12.47, 3,    7356.01,   83.6,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2861158", 12.47, 3,    7355.67,   83.6,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1140827", 12.47, 1,    7833.04,  -44.8,     1.088, 2,    3832.27, -175.5,   0.53229, 3,    6698.21,   75.7,   0.93036, 0, 0, 0, 0
"M1026726", 12.47, 1,    7832.98,  -44.8,     1.088, 2,     3832.2, -175.5,   0.53228, 3,    6698.11,   75.7,   0.93035, 0, 0, 0, 0
"L2730106", 12.47, 1,    7233.03,  -40.0,    1.0046, 2,    3673.24, -174.9,    0.5102, 3,     7259.5,   78.2,    1.0083, 0, 0, 0, 0
"N1142099", 12.47, 1,    7231.52,  -40.0,    1.0044, 2,    3672.98, -174.9,   0.51017, 3,    7257.75,   78.2,    1.0081, 0, 0, 0, 0
"M1026658", 12.47, 1,    7826.65,  -44.8,    1.0871, 2,    3832.99, -175.4,   0.53239, 3,    6682.48,   75.7,   0.92818, 0, 0, 0, 0
"L3172805", 12.47, 1,    7826.48,  -44.8,    1.0871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P895112", 12.47, 1,     7412.7,  -37.0,    1.0296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048962", 12.47, 1,    7412.63,  -37.0,    1.0296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991914", 12.47, 1,     7968.1,  -44.5,    1.1067, 2,    3832.22, -175.8,   0.53229, 3,     6803.6,   75.6,     0.945, 0, 0, 0, 0
"M1047503", 12.47, 1,    7964.66,  -44.5,    1.1063, 2,    3832.25, -175.8,   0.53229, 3,    6800.91,   75.6,   0.94463, 0, 0, 0, 0
"M1047751", 12.47, 1,    7958.17,  -44.4,    1.1054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973154", 12.47, 1,    7958.13,  -44.4,    1.1054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3010565", 12.47, 3,    7164.65,   82.1,   0.99515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2897775", 12.47, 3,    7164.38,   82.1,   0.99511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1125955", 12.47, 3,    7373.84,   79.0,    1.0242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1125957", 12.47, 3,    7373.82,   79.0,    1.0242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069640", 12.47, 2,    3802.92, -176.2,   0.52822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2804269", 12.47, 2,    3802.52, -176.2,   0.52816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026702", 12.47, 1,    7854.95,  -44.7,     1.091, 2,    3833.37, -175.6,   0.53245, 3,     6719.9,   75.7,   0.93338, 0, 0, 0, 0
"N1139551", 12.47, 1,    7844.44,  -44.7,    1.0896, 2,    3833.71, -175.5,   0.53249, 3,     6712.4,   75.7,   0.93233, 0, 0, 0, 0
"N1136355", 12.47, 2,    3843.93, -176.0,   0.53391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2783231", 12.47, 2,    3840.02, -176.0,   0.53337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748143", 12.47, 1,    7808.13,  -42.8,    1.0845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3251854", 12.47, 1,    7808.02,  -42.8,    1.0845, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069610", 12.47, 2,    3808.75, -176.1,   0.52903, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069600", 12.47, 2,    3808.69, -176.1,   0.52902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069424", 12.47, 1,    7959.34,  -44.7,    1.1055, 2,    3755.73, -175.8,   0.52166, 3,    6699.39,   74.9,   0.93053, 0, 0, 0, 0
"L2935549", 12.47, 1,    7958.92,  -44.7,    1.1055, 2,    3753.44, -175.8,   0.52134, 3,    6696.78,   74.9,   0.93017, 0, 0, 0, 0
"P895089", 12.47, 3,    7202.35,   76.9,    1.0004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3235242", 12.47, 3,    7202.12,   76.9,    1.0004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026795", 12.47, 1,     7931.7,  -44.6,    1.1017, 2,    3832.86, -175.7,   0.53237, 3,    6775.15,   75.6,   0.94105, 0, 0, 0, 0
"N1140522", 12.47, 3,    6775.12,   75.6,   0.94105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3030199", 12.47, 1,    7404.44,  -37.6,    1.0285, 2,    3837.14, -173.0,   0.53297, 3,    7373.48,   80.1,    1.0242, 0, 0, 0, 0
"M1125934", 12.47, 1,    7403.43,  -37.7,    1.0283, 2,    3840.87, -172.9,   0.53349, 3,    7370.12,   80.1,    1.0237, 0, 0, 0, 0
"M1069189", 12.47, 1,     7384.2,  -41.6,    1.0256, 2,    4625.47, -173.8,   0.64247, 3,    7182.63,   82.1,   0.99765, 0, 0, 0, 0
"L2860487", 12.47, 3,    7182.49,   82.1,   0.99763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"221-312488", 12.47, 1,    7248.57,  -39.3,    1.0068, 2,    3665.26, -174.8,    0.5091, 3,    7285.92,   78.5,     1.012, 0, 0, 0, 0
"M1089183", 12.47, 1,    7248.56,  -39.3,    1.0068, 2,    3665.26, -174.8,    0.5091, 3,    7285.91,   78.5,     1.012, 0, 0, 0, 0
"M1108464", 12.47, 2,    3664.13, -174.8,   0.50894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3102286", 12.47, 2,    3663.89, -174.8,   0.50891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"F739845", 12.47, 1,    7201.29,  -42.2,    1.0002, 2,    4468.14, -174.7,   0.62061, 3,    7129.38,   81.5,   0.99025, 0, 0, 0, 0
"293471", 12.47, 1,    7201.23,  -42.2,    1.0002, 2,    4468.09, -174.7,   0.62061, 3,     7129.3,   81.5,   0.99024, 0, 0, 0, 0
"P827499", 12.47, 1,    7958.46,  -44.7,    1.1054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1139254", 12.47, 1,    7958.44,  -44.7,    1.1054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026657", 12.47, 1,    7822.37,  -44.8,    1.0865, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026656", 12.47, 1,    7822.16,  -44.8,    1.0865, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108299", 12.47, 2,    3993.83, -171.8,   0.55473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108300", 12.47, 2,    3993.82, -171.8,   0.55473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3198355", 12.47, 2,     3993.6, -171.8,    0.5547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2805037", 12.47, 2,     3993.6, -171.8,    0.5547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1137994", 12.47, 3,    6735.51,   75.2,   0.93555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069484", 12.47, 3,    6733.89,   75.2,   0.93532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2860504", 12.47, 1,    7828.98,  -44.8,    1.0874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2860493", 12.47, 1,     7828.3,  -44.8,    1.0873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026783", 12.47, 1,    7921.52,  -44.6,    1.1003, 2,    3833.02, -175.7,    0.5324, 3,    6768.14,   75.6,   0.94008, 0, 0, 0, 0
"M1026780", 12.47, 1,     7919.9,  -44.6,    1.1001, 2,    3833.04, -175.7,    0.5324, 3,    6767.01,   75.6,   0.93992, 0, 0, 0, 0
"P895111", 12.47, 3,    7430.59,   79.4,    1.0321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2895496", 12.47, 3,    7430.25,   79.4,     1.032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1140819", 12.47, 1,    7837.01,  -44.8,    1.0885, 2,    3832.74, -175.5,   0.53236, 3,    6703.35,   75.7,   0.93108, 0, 0, 0, 0
"M1026700", 12.47, 1,    7835.96,  -44.8,    1.0884, 2,    3832.56, -175.5,   0.53233, 3,    6701.89,   75.7,   0.93087, 0, 0, 0, 0
"M1089173", 12.47, 3,    7108.71,   80.0,   0.98738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2935551", 12.47, 3,     7107.7,   80.0,   0.98724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026344", 12.47, 1,    7160.32,  -42.2,   0.99455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026364", 12.47, 1,    7160.02,  -42.2,   0.99451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2879070", 12.47, 1,    7986.89,  -44.7,    1.1094, 2,    3844.42, -176.0,   0.53398, 3,    6846.11,   75.6,   0.95091, 0, 0, 0, 0
"L3216345", 12.47, 1,    7979.83,  -44.7,    1.1084, 2,    3844.19, -176.0,   0.53395, 3,    6842.22,   75.6,   0.95037, 0, 0, 0, 0
"M1069428", 12.47, 1,    7959.87,  -44.7,    1.1056, 2,    3757.64, -175.8,   0.52193, 3,    6701.68,   74.9,   0.93085, 0, 0, 0, 0
"N1139257", 12.47, 2,    3757.61, -175.8,   0.52192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991919", 12.47, 1,    7156.27,  -42.2,   0.99399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026361", 12.47, 1,    7153.72,  -42.2,   0.99363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1147857", 12.47, 1,    7858.73,  -45.2,    1.0916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1009742", 12.47, 1,    7857.06,  -45.2,    1.0913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Q14412", 12.47, 1,    7238.93,  -42.2,    1.0055, 2,    4501.63, -174.7,   0.62526, 3,    7148.02,   81.5,   0.99284, 0, 0, 0, 0
"M1047325", 12.47, 1,    7236.54,  -42.2,    1.0051, 2,    4500.01, -174.7,   0.62504, 3,    7147.02,   81.5,    0.9927, 0, 0, 0, 0
"N1139263", 12.47, 1,    7962.77,  -44.7,     1.106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048227", 12.47, 1,    7962.71,  -44.7,     1.106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P827506", 12.47, 1,    7962.82,  -44.7,     1.106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069469", 12.47, 1,    7962.79,  -44.7,     1.106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1027019", 12.47, 2,    3798.33, -176.0,   0.52758, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2785522", 12.47, 2,    3798.27, -176.0,   0.52757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3216338", 12.47, 2,     3766.3, -176.3,   0.52313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973146", 12.47, 2,    3766.24, -176.3,   0.52312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M3037452", 12.47, 1,    7146.25,  -42.2,    0.9926, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973164", 12.47, 1,    7146.18,  -42.2,   0.99259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3120376", 12.47, 1,    7930.76,  -45.0,    1.1016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026925", 12.47, 1,    7929.08,  -45.0,    1.1013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047612", 12.47, 3,    6860.61,   75.6,   0.95292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P828360", 12.47, 3,    6860.58,   75.6,   0.95292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1089195", 12.47, 3,    7201.85,   76.9,    1.0003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3141393", 12.47, 3,    7201.63,   76.9,    1.0003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026946", 12.47, 2,    3806.36, -176.1,   0.52869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026940", 12.47, 2,    3806.07, -176.1,   0.52865, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047471", 12.47, 2,    3682.72, -176.0,   0.51152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3216349", 12.47, 2,    3682.71, -176.0,   0.51152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047401", 12.47, 1,    7774.51,  -44.9,    1.0799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748132", 12.47, 1,    7774.43,  -44.9,    1.0798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3122820", 12.47, 1,    7802.55,  -44.8,    1.0838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3141398", 12.47, 1,    7802.49,  -44.8,    1.0837, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108360", 12.47, 3,    7183.73,   80.2,    0.9978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048968", 12.47, 3,     7183.5,   80.2,   0.99777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2801950", 12.47, 3,    7144.39,   82.1,   0.99234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069224", 12.47, 3,    7143.71,   82.1,   0.99224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2766746", 12.47, 3,     6685.7,   75.3,   0.92863, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1027073", 12.47, 3,    6683.38,   75.2,    0.9283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1142873", 12.47, 3,       7430,   79.4,     1.032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069181", 12.47, 1,    7346.67,  -41.7,    1.0204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973151", 12.47, 1,    7345.05,  -41.7,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3179682", 12.47, 3,    7267.48,   80.4,    1.0094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2786274", 12.47, 3,    7267.41,   80.4,    1.0094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3066816", 12.47, 1,    7827.09,  -44.8,    1.0872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026667", 12.47, 1,     7826.7,  -44.8,    1.0871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108529", 12.47, 1,    7905.82,  -40.9,    1.0981, 2,    3890.56, -175.2,   0.54039, 3,    7292.39,   77.7,    1.0129, 0, 0, 0, 0
"M1108532", 12.47, 1,    7904.57,  -40.9,    1.0979, 2,    3890.07, -175.2,   0.54032, 3,    7290.73,   77.7,    1.0127, 0, 0, 0, 0
"L2766723", 12.47, 1,    7828.08,  -44.8,    1.0873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3122822", 12.47, 1,    7827.95,  -44.8,    1.0873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2673312", 12.47, 1,    7848.29,  -45.2,    1.0901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3235247", 12.47, 1,    7848.13,  -45.2,    1.0901, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1166391", 12.47, 3,    7370.82,   83.6,    1.0238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3254873", 12.47, 3,     7366.8,   83.6,    1.0232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2861157", 12.47, 3,    7410.14,   83.7,    1.0292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P901951", 12.47, 3,    7406.43,   83.7,    1.0287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047346", 12.47, 1,    7260.44,  -42.2,    1.0085, 2,    4515.43, -174.6,   0.62718, 3,    7156.36,   81.5,     0.994, 0, 0, 0, 0
"M1047345", 12.47, 1,    7256.94,  -42.2,     1.008, 2,    4513.46, -174.6,   0.62691, 3,     7155.1,   81.5,   0.99383, 0, 0, 0, 0
"L2989596", 12.47, 2,     3827.2, -176.1,   0.53159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2822873", 12.47, 2,    3827.15, -176.1,   0.53158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108328", 12.47, 3,    7243.34,   80.3,    1.0061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2875754", 12.47, 3,    7243.25,   80.3,    1.0061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2786204", 12.47, 3,    7472.49,   83.9,    1.0379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1209819", 12.47, 3,    7468.22,   83.9,    1.0373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P901972", 12.47, 1,     7856.7,  -45.2,    1.0913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1009726", 12.47, 1,    7854.02,  -45.2,    1.0909, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047702", 12.47, 1,    7991.05,  -44.5,    1.1099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1137001", 12.47, 1,    7991.01,  -44.5,    1.1099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2767340", 12.47, 1,    7289.94,  -39.0,    1.0126, 2,    3681.22, -174.7,   0.51131, 3,    7321.07,   78.6,    1.0169, 0, 0, 0, 0
